location,url,title,money
大学城,https://legoclick.58.com/jump?target=szq1XB3draOWUvYf0A-80A7Guvq8uL-ds1Edrj9dn1bdPH0krj01XaO1pZwVUT7bsycvuhNvm1EYsyn3rjnVPjDduadBnAEOsHNzm1EvmHnvm1E3PTDzrjnvrHbznjckrjmYPkDKnHbdnHc3rjbYrjbkP1TQnEDQn1TknTDQn1TknTDQsjnQnTDYTHDvnHbLrjmOrj0YnHnKnE7AEzdkmzd_pgPYUARhITDQTHDKuhR-u7qk0AIOgvPkmdtznjcknjNzrZkQTiYQTEDQnH9Qrj9YPj0drHEOnWT1PjNvTHmKph-6wvNlnWTkn7t1njTkTHDKPh7-ryRBPjTVnyw6nzYYnAn3sH9znAEVPjF-nWTYnHFbm1w-THD1rjmOn1NzPW01rjNOPjmQnHnKnHn3PWb1PHcvP1cOP19vnHm1nkDKTEDksWTOn1NOn1mkPEDKsEDKTE7WPiq8ubIjHaq501w-P7-gwZ0zEb7M5HYKnHcQsWnYsWDdna3zPjcKnTDkTEDQsjnQnE7exEDQnjTYnkDQnjTznWTQTyu-uW0znyF-sy7hrynVPjEdmid6nj-hsyw6nHP-mWK-Phubm9DKnTDKTHTKPakQrjDQsjnzn1m1THDKUMR_UTD3PvnOrHIhnAc1n1-bm1Ed&tid=fef721be-af9c-445a-a09f-da13eb0e6fdb&slotid=1002201&productid=10043&bizresource=0&extParam=%7B%22ppgy_stats%22%3A%7B%22pageSource%22%3A%22%22%2C%22resource%22%3A%2258%22%2C%22abVersion%22%3A%22%22%2C%22launchid%22%3A%22%22%7D%7D,【整租】星窝青年创业公寓 大学城 民治二店,4677-4277
西乡,https://legoclick.58.com/jump?target=szq1XB3draOWUvYf0A-80A7Guvq8uL-ds1EYPjbQnHDLPj03rjD3XaO1pZwVUT7bsycvuhNvm1EYsyn3rjnVPjDduadBnAEOsHNzm1EvmHnvm1E3PTDzrjnvrHbznjckrjmYPkDKnH0LnW9znHndn1DvnH01P9DQP1TknTDQP1TknTDQsjnQnTDYTHDvnHbLrjmOrj0YnHnKn97AEzdkmzd_pgPYUARhITDQTHDKuhR-u7qk0AIOgvPkmdtznjcknjNzrZkQTiYQTEDQnH9Qrj9YPj0drHEOnWT1PjNvTHmKph-6wvNlnWTkn7t1njTkTHDKuj0YnAnQPj9VmHb1naYYPhwWsycLPycVrjmQrA7hm1TznjDQTHD1P1ndrjbkn1mkrH9Qn19QnHcKnHnLn1N3rHT1PWTvPjNLrHN3PTDKTEDksWTOn1NOn1mkPEDKsEDKTE7WPiq8ubIjHaq501w-P7-gwZ0zEb7M5HYKnHcQsWnYsWDdna3zPjcKnTDkTEDQsjnQnE7exEDQnjTYnkDQnjTznWTQTH0OrymLrHK-sHnQnWTVPjbkraYOmWu-sH7BmHTvuAFBmhnknkDKnTDKTHTKPakQrjDzsjmQPHDKnE78IyQ_THnvnyPhmvPBuyczPhP6PWT&tid=799f790e-3120-4908-9b6e-1ba06dbbbc03&slotid=1002201&productid=10043&bizresource=0&extParam=%7B%22ppgy_stats%22%3A%7B%22pageSource%22%3A%22%22%2C%22resource%22%3A%2258%22%2C%22abVersion%22%3A%22%22%2C%22launchid%22%3A%22%22%7D%7D,【整租】星窝青年创业公寓 西乡 星窝固戍店二期,4920-4520
龙华,https://legoclick.58.com/jump?target=szq1XB3draOWUvYf0A-80A7Guvq8uL-ds1EdPjnYP1EOrHbkP1TzXaO1pZwVUT7bsycvuhNvm1EYsyn3rjnVPjDduadBnAEOsHNzm1EvmHnvm1E3PTDzrjnvrHbznjckrjmYPkDKnH9On1mkPWnQPjckPWcQnkDQP1TknTDQP1TknTDQsjnQnTDYTHDvnHbLrjmOrj0YnHnKnk7AEzdkmzd_pgPYUARhITDQTHDKuhR-u7qk0AIOgvPkmdtznjcknjNzrZkQTiYQTEDQnH9Qrj9YPj0drHEOnWT1PjNvTHmKph-6wvNlnWTkn7t1njTkTHDKPAE1mhubrHnVrHFhnaYYuhmvsy7WuW0VuW0vmWbYnyNOnhmvTHD1PW9krjbvrjndPHm1nHDkPjTKnHnvrjT3rHm3n1E3rHckPWcLnkDKTEDksWTOn1NOn1mkPEDKsEDKTE7WPiq8ubIjHaq501w-P7-gwZ0zEb7M5HYKnHcQsWnYsWDdna3zPjcKnTDkTEDQsjnQnE7exEDQnjTYnkDQnjTznWTQTyDQrHu6njmYsyc3mhEVPA7bnzYOn103sH7WnHc1uymLrAnOnTDKnTDKTHTKPakQPWTkrikQrjNkTHDKUMR_UT7brHbYuj7WPyP-PjRBPAFB&tid=a196a064-b8bd-4ad3-9378-1c123ef78c90&slotid=1002201&productid=10043&bizresource=0&extParam=%7B%22ppgy_stats%22%3A%7B%22pageSource%22%3A%22%22%2C%22resource%22%3A%2258%22%2C%22abVersion%22%3A%22%22%2C%22launchid%22%3A%22%22%7D%7D,【整租】星窝青年创业公寓 龙华 壹城中心总店,4320-4920
福永,https://legoclick.58.com/jump?target=szq1XB3draOWUvYf0A-80A7Guvq8uL-ds1n1P1ckn1c1nW0kPjNQXaO1pZwVUT7bsycvuhNvm1EYsyn3rjnVPjDduadBnAEOsHNzm1EvmHnvm1E3PTDYrjE1n1nvrjDzrHcOPTDKnHcvPWTLP1DvPW93PH93rTDQP1TknTDQP1TknTDQsjnQnTDYTHDvnHbLrjmOrj0YnHnKPT7AEzdkmzd_pgPYUARhITDQTHDKuhR-u7qk0AIOgvPkmdtznjcknjNzrZkQTiYQTEDQnH9zrHELPHEdrHc3P1T3njbvTHmKph-6wvNlnWTkn7t1njTkTHDKmhFWuHnduHEVuW6BPaYYmhNdsHbLPjnVuHIWuHu-rHPhmW-hTHD1nWDOrjb1PjbdPHnLPjD3nWEKnHnznHb3rHnYrHNkn1EQPjcLn9DKTEDksWTLrH93P1bvTEDVTEDKTyndsvOhwYPnsYq1PANYyRIDI1FaEy0q5EDQnWD8n1E8nHNksWcYn9DkTHTKTHD_n1DQTgVqTHDknjE1THDknjcznjDKrj-6mWmOPWnVnhRbuBYYnHu6sH6bPvcVnjuBn1N3PvFWPHKbTEDkTEDKnTDYsjD3nHc_PWDdPTDQTyOdUAkKrARbnHbOuHwhmH0kPvmYu9&tid=89ab6963-2edf-416a-8d7b-06b3587bc50d&slotid=1002201&productid=10043&bizresource=0&extParam=%7B%22ppgy_stats%22%3A%7B%22pageSource%22%3A%22%22%2C%22resource%22%3A%2258%22%2C%22abVersion%22%3A%22%22%2C%22launchid%22%3A%22%22%7D%7D,【整租】青致礼寓公寓 福永 青致礼寓东街店,4476
民治,https://legoclick.58.com/jump?target=szq1XB3draOWUvYf0A-80A7Guvq8uL-ds1EYnjnLnjNQnW0znHbOXaO1pZwVUT7bsycvuhNvm1EYsyn3rjnVPjDduadBnAEOsHNzm1EvmHnvm1E3PTDYP1bvPWmYP1NknWTOrTDKnH0QPj0knj9Lrj01n1nzPTDQP1TknTDQP1TknTDQsjnQnTDYTHDvnHbLrjmOrj0YnHnKPE7AEzdkmzd_pgPYUARhITDQTHDKuhR-u7qk0AIOgvPkmdtznjcknjNzrZkQTiYQTEDQnWbQn1ndPj91PHNzPjEkn1cQTHmKph-6wvNlnWTkn7t1njTkTHDKPynOryF-n1bVmHFWnaYYujNzsyDQPHDVPAcduAm3uhmkmvN3THD1n1DQnjDdn1nOnHDQn1TQnHcKnHn1nHDknHN1n191rH91nHTYnTDKTEDksWTLrH93P1bvTEDVTEDKTyndsvOhwYPnsYq1PANYyRIDI1FaEy0q5EDQnWD8n1E8nHNksWcYn9DkTHTKTHD_n1DQTgVqTHDknjE1THDknjcznjDKrHnzm16hnWEVnyDvuaYYP1nvsH9znWEVn17hnvR6m1mQPjnLTEDkTEDKnTDYsjDvnjTOsjmQPjNKnE78IyQ_TH6WnAP-PjNznH-hnv7-mWb&tid=932c8f24-1a6d-4736-8224-31f3eac61437&slotid=1002201&productid=10043&bizresource=0&extParam=%7B%22ppgy_stats%22%3A%7B%22pageSource%22%3A%22%22%2C%22resource%22%3A%2258%22%2C%22abVersion%22%3A%22%22%2C%22launchid%22%3A%22%22%7D%7D,【整租】中执上寓 民治 万众城店,4500
洪湖,https://legoclick.58.com/jump?target=szq1XB3draOWUvYf0A-80A7Guvq8uL-ds1n3n1mzn1c3nWEQPH01XaO1pZwVUT7bsywBn1Evnvn1sHTQnhmVPAFbridBnW0LsHTkuHEYmHNznjbdmkDvnWELPWbznWcLrjEQrTDKnHcvPWTvn1nYn1bdnH9Ln9DOnjTkTHbknjTKnik1nHTKPTDQPWDOP19vrH9LPjDkTHDKwbnV0AnVUA-1IAQ-uMEKnEDQTyu-uywx0ZKMXRqW0APxnWTznjTdnW6tnEDVnEDKnHD3PjndPWDzn1NYPH0QPjm3rTDvTyGGmNI-rWcknjKxn1TknTDQTHFWuhwbuWTQsHEQPvmVPAFWuBY3rj9dsHK6PW0vn1T1P10drTDQnHbdrHT1P1NvPWNOPWcQrj93THDQrHNOnjnLPHmdrHcdnHnknWNKTEDKna3krHndrHnvnjNKTiYKTEDKm1NfUhuZEYkfHLnYuHwuRYwLnbFKu1YqTHDzni31Pa3QPHT8nWEzTHTKnTDKnik1nHDKXLYKnHTkPjnKnHTknWcknE7WnvNkPHEknBYkrHPbsHEznAnVmW9YmzYvuj9vn1NdrAE1PyEKTHTKTEDkTHE_nH9QnakvnHnzTHDKUMR_UTDkPhRhn1cdrAwBP1nvm1TY&tid=c3e05402-093d-420c-b84c-6d863558d35d&slotid=1002201&productid=10043&bizresource=0&extParam=%7B%22ppgy_stats%22%3A%7B%22pageSource%22%3A%22%22%2C%22resource%22%3A%2258%22%2C%22abVersion%22%3A%22%22%2C%22launchid%22%3A%22%22%7D%7D,【整租】八号季公寓 洪湖 洪湖地铁站店,4780-6380
万众城,https://legoclick.58.com/jump?target=szq1XB3draOWUvYf0A-80A7Guvq8uL-ds1n3PWbLnHmLrj9LPHDzXaO1pZwVUT7bsywBn1Evnvn1sHTQnhmVPAFbridBnW0LsHTkuHEYmHNznjbdmkDYPjmLPjT3rHmYrHE1nTDKnHnLPWNkPH0OPjTQnHD1rTDvPHTkTHmdnjTKnik1nHTKPTDQPWDOP19vrH9LPjDkTHcKwbnV0AnVUA-1IAQ-uMEKnEDQTyu-uywx0ZKMXRqW0APxnWTznjTdnW6tnEDVnEDKnHD3nWDLn1nknHm3PWbYn10YPTDvTyGGmNI-rWcknjKxn1TknTDQTH03PH0vnhF6sycvn1nVPjc1uiY3njwbsHF-mW9Om1EQrjuBnTDQnWnLnWDvrHDLn1NYnWTQnj9OTHDzn10znHmOnH0zrHDzrjmdnW9KTEDKna3krHndrHnvnjNKTiYKTEDKm1NfUhuZEYkfHLnYuHwuRYwLnbFKu1YqTHDzni31Pa3QPHT8nWEzTHTKnTDKnik1nHDKXLYKnHTkPjnKnHTknWcknEDLnj7Wm176PiY3nHRBsHEdnyEVryNkuBd6PvEvujc3ujcvnWbKTHTKTEDkTHE_nHmknjb_n1NQrH0KnE78IyQ_TyELnH-BPvFhrH6BuhcvPyn&tid=701cc1a5-815b-451d-9e0f-a7d6d28d2629&slotid=1002201&productid=10043&bizresource=0&extParam=%7B%22ppgy_stats%22%3A%7B%22pageSource%22%3A%22%22%2C%22resource%22%3A%2258%22%2C%22abVersion%22%3A%22%22%2C%22launchid%22%3A%22%22%7D%7D,【整租】魔方公寓（深圳） 万众城 l特价房l押一,4300-3000
岗厦,https://legoclick.58.com/jump?target=szq1XB3draOWUvYf0A-80A7Guvq8uL-ds1nLPj03PjTQnWbkPHnkXaO1pZwVUT7bsywBn1Evnvn1sHTQnhmVPAFbridBnW0LsHTkuHEYmHNznjbdmkD1P1bYPHcYn1bQPj0vPkDKnHcdn1mvnWbdPW93P1TYnTDQn1TknTDQn1TknTDQsjnQnTDYTHDvnHbLrjmOrj0YnHTKnk7AEzdkmzd_pgPYUARhITDQTHDKuhR-u7qk0AIOgvPkmdtznjcknjNzrZkQTiYQTEDQnH91nWDOPjmzn10vnjTOP1c3THmKph-6wvNlnWTkn7t1njTkTHDKuhw6nvuhrHnVuhn3riYYmW0dsHbLnhDVryPbuy7hnj0OPHbkTHDzrHDzrHm3PHcOrjT3njDdn10KnHcOnHcOPW9dnWbznWT3nHc3nTDKTEDksWTOn1NOn1mkPEDKsEDKTE7WPiq8ubIjHaq501w-P7-gwZ0zEb7M5HYKnHcQsWnYsWDdna3zPjcKnTDkTEDQsjnQnE7exEDQnjTYnkDQnjTznWTQTH0knj7hnHcOsy76uWmVPAEkmiY3uW0dsynYmHu-n1mYnyDkP9DKnTDKTHTKPakQrjTOsjmkrjcKnE78IyQ_THwBPHNvn191nWcvP1c1n1T&tid=7001f129-aaf6-4d0a-8f75-c4a6e3641a06&slotid=1002201&productid=10043&bizresource=0&extParam=%7B%22ppgy_stats%22%3A%7B%22pageSource%22%3A%22%22%2C%22resource%22%3A%2258%22%2C%22abVersion%22%3A%22%22%2C%22launchid%22%3A%22%22%7D%7D,【整租】蜂趣公寓 岗厦 蜂趣公寓新村店,4787
国贸,https://legoclick.58.com/jump?target=szq1XB3draOWUvYf0A-80A7Guvq8uL-ds1ndP1E1rHTYn10YPjmzXaO1pZwVUT7bsywBn1Evnvn1sHTQnhmVPAFbridBnW0LsHTkuHEYmHNznjbdmkDYPjmLPjT3rHmYrHE1nTDKnHcdn1mvnHT3PWNdPWDvnTDQn1TknTDQn1TknTDQsjnQnTDYTHDvnHbLrjmOrj0YnHTKPT7AEzdkmzd_pgPYUARhITDQTHDKuhR-u7qk0AIOgvPkmdtznjcknjNzrZkQTiYQTEDQnH9znH01n1TQPW9vrHE1P1EYTHmKph-6wvNlnWTkn7t1njTkTHDKrj0LrADknyDVujbkPaYYPjcksyDOrHbVPA7hnj7bPWNdPWNQTHDzn101nHNznjnvPjDvPHNzrHmKnHc1P1nQPHckn1NLrj0Ynj01P9DKTEDksWTOn1NOn1mkPEDKsEDKTE7WPiq8ubIjHaq501w-P7-gwZ0zEb7M5HYKnHcQsWnYsWDdna3zPjcKnTDkTEDQsjnQnE7exEDQnjTYnkDQnjTznWTQTHDOuHnYnANvsHczmW9VPAPhuBY3nHmYsyNOnjT1uAP-n1mYrTDKnTDKTHTKPakQrjDksjmQn19KnE78IyQ_THmvuHDOn1-WnHPWmyDknWc&tid=19e340e6-22b8-4cff-8164-e9003dce3648&slotid=1002201&productid=10043&bizresource=0&extParam=%7B%22ppgy_stats%22%3A%7B%22pageSource%22%3A%22%22%2C%22resource%22%3A%2258%22%2C%22abVersion%22%3A%22%22%2C%22launchid%22%3A%22%22%7D%7D,【整租】魔方公寓（深圳） 国贸 直租l押一付一,3000-3600
八卦岭,https://legoclick.58.com/jump?target=szq1XB3draOWUvYf0A-80A7Guvq8uL-ds1n3nWbOP1E1n1mknW03XaO1pZwVUT7bsywBn1Evnvn1sHTQnhmVPAFbridBnW0LsHTkuHEYmHNznjbdmkDzrHnYnjc1rHnzrjNQPEDKnHcvPWTvn1cYP1bkP19YnTDQn1TknTDQn1TknTDQsjnQnTDYTHDvnHbLrjmOrj0YnHTKPE7AEzdkmzd_pgPYUARhITDQTHDKuhR-u7qk0AIOgvPkmdtznjcknjNzrZkQTiYQTEDQnH9vPjbkrHcvn1DQnH0YnHEYTHmKph-6wvNlnWTkn7t1njTkTHDKrAwhPWKbujcVP1bdmBYYPWbOsH9YnvnVPjuWrj-BmyFWrjbQTHDQrjmdnHndnjnOPWTQrHbQPW9KnHD3PWNQn1Nkn19On1TOnjnkPTDKTEDksWTOn1NOn1mkPEDKsEDKTE7WPiq8ubIjHaq501w-P7-gwZ0zEb7M5HYKnHcQsWnYsWDdna3zPjcKnTDkTEDQsjnQnE7exEDQnjTYnkDQnjTznWTQTyu6rHTzn1IhsyELuhDVPj01PaYOujbYsyR-uhEYPW03PHDOPEDKnTDKTHTKPakQrjTOsjcvPWmKnE78IyQ_TyNkmW0LuAn1rHwhnjndujb&tid=fa90237f-d7fa-4734-9d94-eefd46785195&slotid=1002201&productid=10043&bizresource=0&extParam=%7B%22ppgy_stats%22%3A%7B%22pageSource%22%3A%22%22%2C%22resource%22%3A%2258%22%2C%22abVersion%22%3A%22%22%2C%22launchid%22%3A%22%22%7D%7D,【整租】创途优客 八卦岭 八卦岭店,4100-4300
